Unnamed: 0,word1,word2,word3,word4,ID,partyid,pos_neg,extreme,personality,policy,social_groups
66,annoying,rich,haughty,worldly,R_9TuPBeT8fnsZNgp,Democrat,Very negative,Yes,Yes,No,No
67,rich,college educated,anti socialism,freedom,R_cOYiHGWY1lFRarX,Independent,Neither positive nor negative,No,No,Yes,No
68,business owners,rich,middle class,older,R_9FEJczqeFsqiwtv,Independent,Neither positive nor negative,No,No,No,Yes
69,conservative,christian,racist,redneck,R_6LLwiErY6ZEvCXH,Democrat,Very negative,Yes,Yes,No,Yes
70,conservative,traditional,controlling,judgmental,R_0TwIwxYSIbUFANL,Democrat,Very negative,Yes,Yes,No,No
71,conservative,white collar,rich,country,R_8q6S9sWndGILB0p,Democrat,Neither,No,No,No,Yes
72,smart,conservative,honest,patriotic,R_esoP0mEtfX09rPn,Republican,A little positive,No,Yes,No,No
73,conservative,middle class,working,solid family,R_8J5RuRUOk33y4M5,Independent,A little positive,No,No,No,Yes
74,rural,gun lovers,christian,white,R_0DNYGfPKxeHFjhz,Democrat,A little negative,No,No,No,Yes
75,non urban,white,uncurious,stagnant,R_7QFy65saYmHgdfL,Democrat,Very negative,Yes,Yes,No,Yes
76,smart,NONE,NONE,NONE,R_bOaTkLf4QzRHPp3,Independent,Neither positive nor negative,No,No,No,No
77,wealthy,states rights,pig headed,uncaring,R_0rJSoLHdW6C4uTH,Democrat,Very negative,Yes,Yes,Yes,No
78,conservative,NONE,NONE,NONE,R_6zEBEcSJ92QgmfX,Independent,Neither positive nor negative,No,No,No,No
79,middle class,middle class,middle class,middle class,R_2cpNplqLIjfsgkJ,Independent,Neither positive nor negative,No,No,No,No
80,white,conservative,angry,duplicitous,R_2f6znPc9xRYlR5P,Democrat,Very negative,Yes,Yes,No,Yes
81,,,,,R_2txkOtfBvj49YYB,Independent,Neither positive nor negative,No,No,No,No
82,conservative,responsible,educated,civilized,R_892oYAaI3Okulq5,Republican,A little positive,No,Yes,No,No
83,pompous,arrogant,egotistical,uncaring,R_1FyhxkBVjrmIC8d,Democrat,Very negative,Yes,Yes,No,No
84,smart,logical,driven,change,R_bvg9IJtrUnBoAvP,Independent,A little positive,No,Yes,No,No
85,conservative,professionals,factory workers,driven,R_56jDRT2RxQbb737,Independent,Neither positive nor negative,No,No,No,Yes
86,rich,good looking,clean,nice,R_884507tj6wovaMB,Independent,Very positive,No,No,No,No
87,conservative,NONE,NONE,NONE,R_4ZbuqlJMF7c4VU1,Independent,Neither positive nor negative,No,No,No,No
88,regressive,authoritarian,racist,bigoted,R_9RcMww7WxDCDC1n,Democrat,Very negative,Yes,Yes,No,No
89,white,rich,religious,old,R_brUAqKzCqugDEq1,Democrat,A little negative,No,No,No,Yes
90,conservative,well to do,narrow minded,older,R_3l7P9o0Hl0JrRwF,Democrat,Very negative,Yes,Yes,No,No
91,conservative,realistic,honest,real,R_8eqd7YYj4vH74u9,Republican,A little positive,No,Yes,No,No
92,wealthy,white,male,prejudiced,R_bw1mkekf7Z7hBm5,Democrat,Very negative,Yes,Yes,No,Yes
93,conservative,tribal,xenophobic,anti government,R_ebOGfS6bKSDdwMd,Democrat,Very negative,Yes,Yes,Yes,Yes
94,elephant,red,conservative,moderate,R_bJwHGCyySGRMxN3,Independent,Neither positive nor negative,No,No,No,No
95,workers,law abiding,non welfare,liberal,R_8qBFCuHhVamhJuB,Independent,Neither positive nor negative,No,No,Yes,Yes
96,conservative,anti union,pro-life,pro-guns,R_bwI0Va5Be3AH5MV,Independent,Neither positive nor negative,No,No,Yes,No
97,conservative,patriotic,anti socialist,independent,R_8AhekjuarndCawd,Republican,A little positive,No,No,Yes,No
98,religion,conservative,hardworking,rich,R_8ekc4ahS8z4Hpv7,Independent,Neither positive nor negative,No,No,No,No
99,thrifty,smart,old school,workers,R_6XwxnzBy7fsHfF3,Independent,A little positive,No,Yes,No,No
100,don't know,don't know,don't know,don't know,R_3dYiypxR575GEgl,Independent,Neither,No,No,No,No
101,conservative,racist,bigot,white,R_6L3HkLTbTbcmu8t,Democrat,Very negative,Yes,Yes,No,Yes
102,rich,care about themselves,NONE,NONE,R_3O61gHxyoP0KggB,Democrat,Very negative,Yes,Yes,No,No
103,conservative,NONE,NONE,NONE,R_dh5LGf7cmHwzjh3,Independent,Neither positive nor negative,No,No,No,No
104,conservative,white,men,rich,R_4YMJ3Y7QULq9JSR,Democrat,A little negative,No,No,No,Yes
105,conservative,stubborn,elephant,inflexible,R_cOVoUMXPV2uqGSF,Democrat,A little negative,No,Yes,No,No
106,white,racial,NONE,NONE,R_50wYoNUwPqF26yx,Democrat,Very negative,Yes,No,No,Yes
107,NONE,NONE,NONE,NONE,R_8l8cjOQ6B5s2qrP,Independent,Neither positive nor negative,No,No,No,No
108,conservative,responsible,strong,values,R_56Il1GsiYj3X3a5,Independent,A little positive,No,Yes,No,No
109,greedy,narcissistic,bigoted,uneducated,R_40en0LuyfshctcF,Democrat,Very negative,Yes,Yes,No,No
110,realistic,procapitalist,conservative,promarket,R_cARnMaKPdzhTC0B,Independent,Neither positive nor negative,No,No,Yes,No
111,conservative,white,older,religious,R_73eEtQutyUHnZHv,Democrat,A little negative,No,No,No,Yes
112,unfair,selfish,NONE,NONE,R_5hDBX1s5eTdBz8N,Democrat,Very negative,Yes,Yes,No,No
113,NONE,NONE,NONE,NONE,R_09eH3SyDVE97WqF,Independent,Neither positive nor negative,No,No,No,No
114,conservative,realistic,patriot,intelligent,R_1RCI9BO4AeWTxIx,Republican,A little positive,No,Yes,No,No
115,conservative,narrow minded,wealthy,prejudice,R_3UWsyrBGg3TrxUF,Democrat,Very negative,Yes,Yes,No,No
116,moral,NONE,NONE,NONE,R_832fxdV4QEySr6B,Independent,Neither positive nor negative,No,Yes,No,No
117,christians,independent,honest,conservative,R_b1PnjLAVMS2gRhz,Republican,A little positive,No,Yes,No,Yes
118,conservative,white collar,prolife,pro-heterosexual marriage,R_5syufQIpdgSFRQN,Democrat,Neither positive nor negative,No,No,Yes,Yes
119,trump,crazy,rich,racist,R_dotAfue0bxBbMWh,Democrat,Very negative,Yes,Yes,No,Yes
120,bigot,hypocrites,fiscally minded,conservative,R_264k2Iv5I460OhL,Democrat,Very negative,Yes,Yes,Yes,No
121,conservative,traditional,country,rich,R_eQ0Km1ClWIfLT6J,Independent,Neither,No,No,No,Yes
122,conservative,fiscal,christian,affluent,R_2gDxTzL4OEeECnH,Independent,Neither positive nor negative,No,No,Yes,Yes
123,rich,smart,greedy,arrogant,R_b9E2ByvNgMDKHSR,Democrat,Very negative,Yes,Yes,No,No
124,conservative,christian,generous,self reliant,R_9pLW3mx0lm3fcoZ,Republican,A little positive,No,Yes,No,Yes
125,rude,unlike,rough,hard,R_1LzU2b6dAOcujtj,Democrat,Very negative,Yes,Yes,No,No
126,uncaring,hypocrite,elitist,selfish,R_a97TJ2N9NbfWRWl,Democrat,Very negative,Yes,Yes,No,No
127,sf,NONE,NONE,NONE,R_37tRKGkylVaY0rb,Independent,Neither positive nor negative,No,No,No,No
128,cheats,liars,unreliable,blowhards,R_0BqeQm9DcxPu2MJ,Democrat,Very negative,Yes,Yes,No,No
129,christian,capitalist,pro-life,independent,R_6WHnSykRHK4XLs9,Republican,Neither positive nor negative,No,No,Yes,Yes
130,old,conservative,constitutional,redneck,R_3sIZHn5r5ilMlbD,Democrat,Very negative,Yes,Yes,Yes,Yes
131,money,exploit,no taxes,war,R_0qWjIKfJNYpFZFb,Democrat,Very negative,Yes,No,Yes,No
132,conservative,fiscal,responsible,obstructionists,R_4VkFHY3T5dhI2DH,Democrat,A little negative,Yes,No,Yes,No
133,liberal,NONE,NONE,NONE,R_cOYpyA2IVOcm3ul,Democrat,A little negative,Yes,No,No,No
134,weak,NONE,NONE,NONE,R_4NKUrzsLOLCtRBj,Democrat,Very negative,Yes,Yes,No,No
135,greedy,unreasonable,NONE,NONE,R_5A0O8TYkf5VZXA9,Democrat,Very negative,Yes,Yes,No,No
136,conservative,old,right,tea,R_7agzvPtdI6mYWCp,Democrat,A little negative,No,No,No,Yes
137,none,NONE,NONE,NONE,R_8wy5bM1KaPsyYzX,Independent,Neither positive nor negative,No,No,No,No
138,rich,guns,conservative,militant,R_82g1L6iBvqWUPZ3,Democrat,Very negative,Yes,No,Yes,No
139,trump,biased,anti muslim,prejudice,R_etavy2TpSsxuNtb,Democrat,Very negative,Yes,Yes,Yes,Yes
140,close-minded,racist,rich,stupid,R_egj956NyzkOoHhb,Democrat,Very negative,Yes,Yes,No,No
141,hardworking,proud,american,duty,R_eOL65RMPL8i4zjf,Republican,A little positive,No,Yes,No,Yes
142,white,conservative,frustrated,tired,R_3xQiOuEXrsLrb1P,Independent,A little negative,No,No,No,Yes
143,conservative,opinionated,stuffy,judgmental,R_50jSco1eAyTFYDH,Democrat,Very negative,Yes,Yes,No,No
144,dishonest,sneaky,liars,cheaters,R_aeK5sKMa9dvWeqN,Democrat,Very negative,Yes,Yes,No,No
145,rude,racist,stubborn,prejudice,R_00TVlJ18SZUNtBP,Democrat,Very negative,Yes,Yes,No,No
146,,,,,R_2uc34e1kunFU9Zr,Independent,Neither positive nor negative,No,No,No,No
147,honest,conservative,working people,middle class,R_8c3olfLVnDmOost,Republican,A little positive,No,Yes,No,Yes
148,conservative,combative,politicians,idiotic,R_cAvvcEoAO1Ms0oB,Democrat,Very negative,Yes,Yes,No,No
149,wealth,boss,finance,white,R_b41EnwLqhaNwa57,Democrat,A little negative,No,No,No,Yes
150,conservative,patriotic,white,discriminatory,R_3yfzJPSRyBXhpLD,Democrat,Very negative,Yes,No,No,Yes
151,rich,NONE,NONE,NONE,R_3DBK8MjdVzrMbIh,Democrat,A little negative,No,No,No,No
152,conservative,frugal,homogeneous,christian,R_8uXZ3fG6yEh7HqB,Independent,Neither positive nor negative,No,No,No,Yes
153,inconsistent,not trustworthy,sneaky,old fashioned,R_9z6wRoloq0u7Rit,Democrat,Very negative,Yes,Yes,No,No
154,conservative,fiscally responsible,traditional,private,R_8GLY3LDMo98fW2F,Independent,A little positive,No,No,Yes,No
155,conservative,economical,individualism,nationalism,R_ezDOd5PuKZnSkXX,Independent,Neither positive nor negative,No,No,Yes,No
156,white,older,conservative,religious,R_bHkCksCJu2Mc44d,Democrat,A little negative,No,No,No,Yes
157,conservative,principles,growth,NONE,R_7ZJHrJcoQar95SB,Independent,Neither positive nor negative,No,No,Yes,No
158,conservative,evangelical,business oriented,rigid,R_2hq7sLo8mWkfchv,Democrat,A little negative,No,No,Yes,No
159,impulsive,misdirected,angry,uninformed,R_d6cT5HkNrfAFsvH,Democrat,Very negative,Yes,Yes,No,No
160,conservative,old,bullheaded,stuck,R_6iiC206o84WLa6N,Democrat,Very negative,Yes,Yes,No,No
161,educated,informed,responsible,concerned,R_77cyiVZewie7dwp,Independent,Very positive,No,Yes,No,No
162,red,old,conservative,white,R_9tUkkdDnjeferoV,Democrat,A little negative,No,No,No,Yes
163,inky dink,feek o freak,mope,mook,R_dmxrNKN4YIXkyP3,Independent,Very negative,Yes,Yes,No,No
164,conservative,patriotic,right wing,wealthy,R_a62f5O5omMqpFqJ,Independent,Neither positive nor negative,No,No,No,No
165,crazy,crazy,mad,don't live in this world,R_3FaHMjHs0MbnQvH,Democrat,Very negative,Yes,Yes,No,No
166,conservative,elitist,gritty,iron hand,R_6hDRzk6LxWyMDQx,Democrat,A little negative,No,Yes,No,No
167,NONE,NONE,NONE,NONE,R_3IsctPM0ebR4gst,Independent,Neither positive nor negative,No,No,No,No
168,conservative,NONE,NONE,NONE,R_5sWYySIau9tJTfL,Independent,Neither positive nor negative,No,No,No,No
169,conservative,right,religious,rich,R_bec3NlBD0dog2mV,Democrat,A little negative,No,No,No,Yes
170,hard workers,christians,moralists,conservative,R_3BIyL07uLF3HEKV,Independent,A little positive,No,Yes,No,Yes
171,wealthy,manipulative,sheep,loud,R_eapFFeNASHgJnut,Democrat,Very negative,Yes,Yes,No,No
172,wealthy,religious,conservative,narrow minded,R_agcJWI9cktRQ1md,Democrat,Very negative,Yes,Yes,No,No
173,practical,NONE,NONE,NONE,R_42PhVZh3MpP1laJ,Independent,Neither positive nor negative,No,No,No,No
174,rich,conservative,close-minded,NONE,R_bQlV5tvvGYKK0Hr,Democrat,Very negative,Yes,Yes,No,No
175,conservative,misogynist,NONE,NONE,R_2t6geOjaIlLnZAN,Democrat,Very negative,Yes,Yes,No,Yes
176,rich,racist,ignorant,conservative,R_9AlX0dtXtGIHSnz,Democrat,Very negative,Yes,Yes,No,Yes
177,bigoted,old fashioned,rich,conservative,R_e2p0Nbmckj37iaF,Democrat,Very negative,Yes,Yes,No,No
178,conservative,rich,white,male,R_b9s9BR26L1Mr1vD,Democrat,Very negative,Yes,No,No,Yes
179,smart,good,NONE,NONE,R_5b8goIHByQI6wbX,Independent,A little positive,No,Yes,No,No
180,rich,jaded,upper class,NONE,R_1HBnZDhpNLRk5fL,Democrat,Very negative,Yes,No,No,Yes
181,conservative,rightists,NONE,NONE,R_cSb5vuQIj9FcmhL,Independent,Neither positive nor negative,No,No,No,No
182,white,blue collar,hardworking,men,R_eYbd175ypIaHr8h,Independent,A little positive,No,No,No,Yes
183,none,none,none,none,R_6kQNBOplyGKtIJD,Independent,Neither positive nor negative,No,No,No,No
184,mean,liars,NONE,NONE,R_6KCSKFf7gw99r13,Democrat,Very negative,Yes,Yes,No,No
185,conservative,well rounded,peaceable,honest,R_1MJfZzQ3S1SXuLP,Republican,A little positive,No,Yes,No,No
186,don't know,NONE,NONE,NONE,R_9zsv3nebRaL2wrb,Independent,Neither positive nor negative,No,No,No,No
187,staunch,uncooperative,crazy,right winged,R_3R75eHE8TXYvn3T,Democrat,Very negative,Yes,Yes,No,No
188,bitter,selfish,right wing,counter productive,R_3OxOcFU6f8Np9yd,Democrat,Very negative,Yes,Yes,Yes,No
189,rich,business owners,catholic,productive,R_ekCN2bUTfPp7S5L,Independent,Neither positive nor negative,No,No,No,Yes
190,dishonest,rude,disloyal,naive,R_2mAGeTV1nHoD3Cd,Democrat,Very negative,Yes,Yes,No,No
191,qwerty,NONE,NONE,NONE,R_8uE4jkE9Q3Rnn5H,Independent,Neither positive nor negative,No,No,No,No
192,conservative,frugal,independent,religious,R_b1Nmh6638RBtcFf,Independent,Neither positive nor negative,No,No,No,No
193,patriotic,successful,white,happy,R_cD3sMruEVvLPJFr,Independent,A little positive,No,No,No,Yes
194,conservative,bigot,racist,sexist,R_2tx1jUDWgw8UABL,Democrat,Very negative,Yes,Yes,No,Yes
195,everyone,NONE,NONE,NONE,R_aXgG217rbaRfBVX,Independent,Neither,No,No,No,No
196,1,2,3,4,R_cvIax4f5aWIvO4J,Democrat,Very negative,Yes,Yes,No,Yes
197,rich,old,stubborn,religious,R_3JGmFZS64yDyQPH,Democrat,Very negative,Yes,Yes,No,No
198,conservative,religious,more tolerant,NONE,R_aWZuKqBqVuDoV9P,Independent,Neither positive nor negative,No,No,No,No
199,old,white,male,conservative,R_be0cUxhHrd0BF9H,Democrat,Very negative,Yes,No,No,Yes
200,conservative,pro-life,upper class,religious,R_b8VQGuMZz2EvtHf,Independent,Neither positive nor negative,No,No,Yes,Yes
201,strange,NONE,NONE,NONE,R_8nMeXVIBaTYPGTP,Independent,Neither positive nor negative,No,No,No,No
202,conservative,male,white,rural,R_9nL6Y1JKKmc5uf3,Democrat,A little negative,No,No,No,Yes
203,white,old,bigoted,selfish,R_3jvXcMJVB0khaZf,Democrat,Very negative,Yes,Yes,No,Yes
204,retarded,stupid,dumb,uneducated,R_3NMpowBAzVEubBz,Democrat,Very negative,Yes,No,No,No
205,wealthy,smart,logical,wise,R_38EptKoXH8YDLRr,Republican,Very positive,No,Yes,No,No
206,conservatives,rich,educated,white,R_1MJvDjCEbZZqpJb,Democrat,A little negative,No,No,No,Yes
207,conservative,afraid,scared,worried,R_6ybTwH1Ztlm5LKZ,Democrat,Very negative,Yes,Yes,No,No
208,conservative,cheap,self serving,NONE,R_5iiLIXCeqy7m4CN,Democrat,Very negative,Yes,Yes,No,No
209,inflexible,old fashioned,angry,blamers,R_9p2EnPIvO9gSZdH,Democrat,Very negative,Yes,Yes,No,No
210,conservative,religious,patriotic,workers,R_cSlCMpPXyl9dniR,Independent,A little positive,No,No,No,No
211,rich,rude,bigot,snobs,R_aaWajAxzJLDWuPz,Democrat,Very negative,Yes,Yes,No,No
212,conservative,educated,wealthy,white,R_6h4Fg2g5TtC3kdn,Democrat,Neither positive nor negative,No,No,No,Yes
213,wealthy,staunch,conservative,crazy,R_6kVywf3cgz14rqJ,Democrat,Very negative,Yes,Yes,No,No
214,chauvinist,imperialists,racists,ignorant,R_6sACQsGtqhlS1ox,Democrat,Very negative,Yes,Yes,No,Yes
215,realistic,logical,frank,unpopular,R_5ikS6GUTOWkFqKN,Independent,Neither,No,Yes,No,No
216,old,white,conservative,closed minded,R_1ZX6CtGVMPlMQzX,Democrat,Very negative,Yes,Yes,No,Yes
217,naive,narrow minded,NONE,NONE,R_2iaXk7RGN0ZU9Jr,Democrat,Very negative,No,Yes,No,No
218,rich,white male,strict,taxes,R_0NRqjg0JSOsQyJD,Democrat,A little negative,Yes,No,Yes,Yes
219,conservative,christian,hard headed,?,R_8Ju6XtDHQGbM149,Democrat,A little negative,No,Yes,No,Yes
220,arrogant,conceited,rich,selfish,R_bwj3htiwBXfnKzH,Democrat,Very negative,Yes,Yes,No,No
221,NONE,NONE,NONE,NONE,R_7OqEkzBFzjizNjL,Independent,Neither positive nor negative,No,No,No,No
222,religious,white,middle income,mid west,R_dopOGpCtvMv6Sj3,Independent,Neither positive nor negative,No,No,No,Yes
223,anti abortion,conservative,NONE,NONE,R_9zxwHaEaRvcP1c1,Democrat,Neither positive nor negative,No,No,Yes,No
224,patriot,fair,conservative money,old,R_5AtU6w0u8wWTm97,Independent,A little positive,No,Yes,No,No
225,smart,thrifty,fair,honest,R_cMWjRiwXVQMqcfP,Republican,Very positive,No,Yes,No,No
226,x,NONE,NONE,NONE,R_6oiyJNdlwT9GrWt,Independent,Neither positive nor negative,No,No,No,No
227,NONE,NONE,NONE,NONE,R_agacxYjDMQ9pjCJ,Independent,Neither,No,No,No,No
228,conservative,wealthy,gun friendly,smart,R_b1t3wSXOvdxVDmt,Republican,A little positive,No,No,Yes,No
229,conservative,rich,stuffy,prejudice,R_5auhfcmnsAaDHut,Democrat,Very negative,Yes,Yes,No,No
230,white,intolerant,sexist,racist,R_9KAFdRrAKOQ5zaB,Democrat,Very negative,Yes,Yes,No,Yes
231,conservative,opinionated,close-minded,anti democrat,R_9sPR07aabJ8OMjb,Democrat,Very negative,Yes,Yes,No,No
232,super rich,gun toting,spoiled,NONE,R_1HT1qXumxlJPGJf,Democrat,Very negative,Yes,Yes,No,No
233,conservative,truthful,responsible,respectful,R_eKdRurgE3Jfh0EZ,Republican,Very positive,No,Yes,No,No
234,conservative,white,wealthy,evangelical,R_4SJCCUrJJvViU2V,Democrat,A little negative,No,No,No,Yes
235,less,prolife,conservative,males,R_1G3nQFIp2hvN4JT,Democrat,A little negative,No,No,Yes,Yes
236,followers,thinkers,honest,corporate,R_6AnvNvGj3lWPEpv,Independent,A little positive,No,Yes,No,No
237,NONE,NONE,NONE,NONE,R_8ljIlBFRVz9UZCt,Independent,Neither positive nor negative,No,No,No,No
238,disorganized,self destructive,constitutional,caring,R_e3xmwyBXkb4GXit,Independent,Neither positive nor negative,No,Yes,Yes,No
239,closeminded,security oriented,anti progressive,promilitary,R_86uGLfqROYDdyyF,Democrat,Very negative,Yes,No,Yes,No
240,ignorant,unscientific,religious,christian,R_552fZE63Bw0POXX,Democrat,Very negative,Yes,No,No,Yes
241,conservative,right wing,rich,white,R_6tcDMFYl30NXvqR,Democrat,A little negative,No,No,No,Yes
242,white,rich,racist,NONE,R_b14st1W7BOkKszX,Democrat,Very negative,Yes,Yes,No,Yes
243,don't know,NONE,NONE,NONE,R_erOqqaeIr3TdHi5,Independent,Neither positive nor negative,No,No,No,No
244,racist,uneducated,religious,homophobic,R_0BCgFTell8CMLFH,Democrat,Very negative,Yes,No,No,Yes
245,NONE,NONE,NONE,NONE,R_cHeLcOhUKg1u4It,Independent,Neither positive nor negative,No,No,No,No
246,NONE,NONE,NONE,NONE,R_b3XZlG2eTanZnJH,Independent,Neither positive nor negative,No,No,No,No
