ID,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_2aOYCZcIByfxxqA,Anti-Christian,Pro-gay,Pro-abortion,Pro-sex,Republican,Very negative,Yes,No,Yes,Yes
R_8Ju6XtDHQGbM149,Liberals,Educated,Middle-class,Young,Independent,A little positive,No,No,No,Yes
R_25MaPy2DivP6YV6,Rich,Ugly,Female,Young,Republican,Very negative,Yes,No,No,Yes
R_2oi3hOC1PURhE3j,Pessimistic,Uninformed,Self-righteous,Hypocritical,Republican,Very negative,Yes,Yes,No,No
R_yqLf3tPGJxNsHOV,Liberal,More compassionate,Socialist,Corrupt,Republican,Very negative,Yes,Yes,Yes,No
R_2WYHw92bQEPqad0,Liberal,Poor,Old,Weak,Republican,Very negative,Yes,No,No,No
R_4My8IWv90svXXyR,Liberal ,Women ,Young ,Democrat,Independent,Neither positive nor negative,No,No,No,Yes
R_3houlG9hdhkKGZm,Liberal ,Progressive ,Social ,Fairness,Independent,A little positive,No,No,No,No
R_6hBeyX9jrfB5Eq1,Pro-minority, Pro-women's rights,Anti-gun,Pro-gay rights,Independent,A little positive,No,No,Yes,Yes
R_8IGT1oymJC0irWd,Fairness,Equality,Helping the less fortunate,Care,Independent,A little positive,No,No,No,No
R_7VQ0OtNL3pUjitv,People who care about human rights,People who care about equality,People who care about the environment,People who are tolerant of others,Independent,Very positive,No,No,Yes,No
R_1mlWkMvAq66p7ks,Liberal / Progressive,Pro-Environmental,Pro-Civil Rights,Pro-Gay Rights,Independent,A little positive,No,No,Yes,No
R_d6V7d03wPG0Iad7,Liberals,Environmentalists,Uninformed,Losers,Republican,Very negative,Yes,No,No,Yes
R_22LLze5oJyODvZt,Liberals,Socially-conscious,Progressive,Open-minded,Democrat,A little positive,No,No,No,No
R_Q0SqbHJDZNZKkoN,Liberal,Pro-choice,Feminists,Anti-war,Independent,Neither positive nor negative,No,No,Yes,Yes
R_31hoR3CxwjnmQ6r,Ethnically diverse ,Open-minded ,Liberal ,Engaged,Independent,A little positive,No,No,No,Yes
R_Tjt0fnZ5gGjL5hD,Liberal,Male,Poor,Young,Republican,A little negative,No,No,No,Yes
R_4YMJ3Y7QULq9JSR,Liberal,Pro-Choice,Pro-Gay Rights,Pro-Affirmative Action,Independent,Neither positive nor negative,No,No,Yes,Yes
R_1ZVQ5HVvZWZfVbf,Fiscally conservative,Fiscally conservative,Fiscally conservative,Fiscally conservative,Independent,Neither positive nor negative,No,No,Yes,No
R_bxEx8TqmDEzFG8R,Liberals ,Democrats ,Feminists ,Those who oppose racism,Independent,A little positive,No,No,No,Yes
R_4GXBZIrQGNpVnoh,Young,Poor,Uneducated,Female,Republican,Very negative,Yes,No,No,Yes
R_5gmCJOPuZpODfWB,Communist,Socialist,Fascist,Marxist,Republican,Very negative,Yes,No,Yes,No
R_6eOlk2IyQRQEiAl,Open-minded ,Compassionate ,Intellectual ,Liberal,Democrat,A little positive,No,Yes,No,No
R_b9E7wuhevB2ND8N,Liberal ,Intelligent ,Racist ,Uneducated,Republican,Very negative,Yes,Yes,No,No
R_yqkCJkIb5w8g8Lf,Non-Christians,"The poor, the working poor, the unemployed, and the homeless",Those who are in favor of a woman's right to choose,Those who are in favor of gay marriage,Independent,Neither positive nor negative,No,No,Yes,Yes
R_Rnuhtk2WlJ0LhN7,Anti-Republican,Anti-Conservative,Pro-Religious Freedom,Pro-Environmental,Independent,Neither positive nor negative,No,No,Yes,No
R_325x0dLJgutzBPH,Liberal,Poor,Young,Male,Republican,A little negative,No,No,No,Yes
R_2RahL0MO199l2d9,Liberal,Weak,Female,Middle-class,Republican,A little negative,No,No,No,Yes
R_9uXJK2uYKjmLwNf,Liberal,Open-minded,Intelligent,Progressive,Democrat,A little positive,No,No,No,No
R_3O61gHxyoP0KggB,Change,Open-minded,Caring,Liberal,Democrat,A little positive,No,Yes,No,No
R_a2WHv62bu6JHarb,Left-wing,Young,Idealistic,Socialistic,Republican,A little negative,Yes,No,Yes,No
R_1Qgb0EQXOoIZAOd,Open-minded,Intellectual,Peace-loving,Well-educated,Democrat,Very positive,No,Yes,No,No
R_2YhyvoKeckI7v3X,Liberal,Elitist,Intolerant,Socialist,Republican,Very negative,Yes,Yes,Yes,No
R_6rH980pOKpabc2x,Fairness,Equality,Liberty,Compassion,Democrat,Very positive,No,No,No,No
R_SHNeWpP24d0opCp,Ideologically,Politically,Financially,In terms of my age,Independent,Neither positive nor negative,No,No,No,No
R_3pf17yxkygS8f3c,Liberal,Progressive,Middle-class,Social,Independent,Neither positive nor negative,No,No,No,No
R_e98DxnXKZktDtI1,Liberal,Progressive,Young,Female,Independent,Neither positive nor negative,No,No,No,Yes
R_2tgLR842AdFxFk4,Liberal  Fairness ,Democrat  Environmental ,Male  Culture ,Middle-aged  Conservative ,Independent,Neither positive nor negative,No,No,Yes,Yes
R_82g1L6iBvqWUPZ3,anti-war,socially progressive,pro-labor,pro-government,Independent,A little positive,No,No,Yes,No
R_5dvNcwOxtTlU7Nb,People who have been screwed by the Republican Party,,,,Independent,A little negative,No,No,No,No
R_1myCwNEl4q4Fqk9,Liberal,Young,Female,Left-wing,Republican,Neither positive nor negative,No,No,No,Yes
R_2wM26MIZDA8SsSy,Liberals,Atheists,Homosexuals,Feminists,Republican,Very negative,Yes,No,No,Yes
R_DpK0r6tBVokoDLj,Liberal,Young,Female,Foolish,Republican,Very negative,Yes,Yes,No,Yes
R_b3eYzDqzU86PJhT,Liberal,Intellectual,Intelligent,Young,Democrat,A little positive,No,No,No,No
R_2dN1PjT5EoFeQuE,Socially tolerant,Open-minded,Liberal,Progressive,Democrat,Very positive,No,Yes,No,No
R_bOYts3BV1yLWVRr,Liberal ,Pro-choice ,Anti-war ,Environmentalist,Independent,A little positive,No,No,Yes,No
R_4OT8nSgNICSjo2h,Social,Liberal,Progressive,Secular,Independent,A little positive,No,No,Yes,No
R_0jkOX9ANo8ZUQ4t,Progressive,Liberal,Equality,Change,Democrat,A little positive,No,No,Yes,No
R_9tUkkdDnjeferoV,People who are compassionate and care about their fellow human beings,People who believe in social equality,People who are not afraid to think outside the box,People who are open-minded,Democrat,Very positive,No,Yes,No,No
R_p618A6fogLbgOKl,Open-minded,Compassionate,Intelligent,Progressive,Democrat,Very positive,No,Yes,No,No
R_28B7lQ2S9lWmd13,Liberals ,Politically correct ,Tax and spend ,Undependable,Republican,Very negative,Yes,No,Yes,No
R_3oHgOEsi2ih5ZLj,Intelligent ,Thoughtful ,Compassionate ,Liberal,Democrat,Very positive,No,Yes,No,No
R_2o7Pn0YObORvbKF,I am a cisgender white female,,,,Independent,Neither positive nor negative,No,No,No,Yes
R_1E1h6v6iMhNZGbD,Liberals,Intellectual,Idealistic,Self-righteous,Republican,A little negative,No,Yes,No,No
R_vZ8yb6BJeKB4gzD,Liberal,Female,Educated,Middle class,Independent,A little positive,No,No,No,Yes
R_7V5jJLOS4IpJQVL,Liberal,Intelligent,Progressive,Idealistic,Democrat,Very positive,No,No,Yes,No
R_6QN4JmzplxxsGcl,Liberal,Pro-women,Anti-war,Pro-education,Independent,A little positive,No,No,Yes,Yes
R_3oTLwbtKOc9me79,Liberal,Young,Intelligent,Open-minded,Democrat,A little positive,No,Yes,No,No
R_3xQiOuEXrsLrb1P,Liberals,Young,Idealistic,Intelligent,Democrat,A little positive,No,Yes,No,No
R_24YHWVV2dSEzzx3,Male,Young,Rich,White,Republican,A little negative,No,No,No,Yes
R_034i8Kcri68bfEx,Liberal,Educated,Open-minded,Tolerant,Independent,Very positive,No,Yes,No,No
R_A5aqcCVsA2aAun7,Liberals,Democrats,Female,Middle-Class,Independent,Neither,No,No,No,Yes
R_QmPJ5akrOaYhOPT,Poor,Female,Minority,Young,Republican,A little negative,No,No,No,Yes
R_3dFUluzMd0EApbd,Open-minded,Liberal,Educated,Talkative,Independent,A little positive,No,Yes,No,No
R_cOYiHGWY1lFRarX,Liberal,Progressive,Social Justice,Human Rights,Independent,A little positive,No,No,Yes,No
R_3RggNOUF6Lc30wG,Liberal/Left ,Pro-choice/Pro-abortion ,Unpatriotic ,Anti-American,Republican,Very negative,Yes,Yes,Yes,No
R_3J90xLJKBwqYABs,People who support the Democratic Party typically have high levels of education,People who support the Democratic Party typically have strong feelings of social justice,People who support the Democratic Party typically have a strong sense of tolerance,People who support the Democratic Party typically have a strong sense of optimism,Independent,A little positive,No,Yes,No,No
R_2X6Gzg4LNNox0CZ,Liberal/Progressive,Leftist/Socialist,Upper-Class,Intellectually Superior,Republican,A little negative,Yes,No,No,Yes
R_WeZmYAQ8khaVPQR,Uninformed,Irrational,Nave,Good people,Republican,A little negative,No,Yes,No,No
R_5tJuy7BM7YNWTxr,People who are pro-choice,People who are pro-affirmative action,People who are pro-social security,People who are pro-choice,Independent,Neither positive nor negative,No,No,Yes,No
R_eapFFeNASHgJnut,Intelligent,Charitable,open-minded,Realistic,Democrat,Very positive,No,Yes,No,No
R_6nXBqrNiUVBD11X,Intelligent,Liberal,Charitable,Young,Democrat,A little positive,No,Yes,No,No
R_30hFNCJtkDDgR1N,Weak ,Irrational ,Nave ,Uninformed,Republican,Very negative,Yes,Yes,No,No
R_3qIcqfMJJ5hGxcF,Liberal,Intelligent,Interested in the environment,Enthusiastic,Democrat,Very positive,No,Yes,Yes,No
R_3VhOYpF52JFd4EJ,Progressive,Open-minded,Liberal,Independent,Democrat,A little positive,No,No,Yes,No
R_0wagqKsq5B7kkYJ,Willing to take a short-cut to achieve a goal,Concerned with what others think and say about him/her,Incapable of making a decision for himself/herself,Unable to see any value in the past,Republican,Very negative,Yes,Yes,No,No
R_08IO9j0Spc7xdVD,Progressive,Liberal,Open-minded,Liberal,Democrat,A little positive,No,No,No,No
R_3JLwZbYfCWIS8ap,Rich,Young,Black,Female,Independent,Neither positive nor negative,No,No,No,Yes
R_2Ehr6v2solU3gwk,Intelligent,Idealistic,Compassionate,Open-minded,Democrat,Very positive,No,Yes,No,No
R_3qHaFaAhGwAnVFr,People who are poor,People who need help,People who deserve to be helped,People who are not rich,Republican,A little negative,No,No,No,Yes
R_eyvoTaxrf4jogJv,Liberal,Democrat,Female,Young,Independent,Neither positive nor negative,No,No,No,Yes
R_4Uh89lf4U2eDF5P,Liberal,Female,Young,Educated,Independent,Neither positive nor negative,No,No,No,Yes
R_26lkiCAQhncb5HL,Uninformed ,Pessimistic ,Idealistic ,Nave,Republican,Very negative,Yes,Yes,No,No
R_zVETPi8GbwkIA4F,Educated,Liberal,Poor,Young,Republican,A little negative,No,No,No,Yes
R_0DmdS5wmjmqy9w1,Liberal,Smart,Smart,Smart,Democrat,Very positive,No,No,No,No
R_2R9fKAl1049ctXM,Open-minded,Tolerant,Progressive,Liberal,Democrat,A little positive,No,No,No,No
R_1ifZAryPMyWM88h,Liberal ,Poor ,Young ,Soft,Republican,A little negative,Yes,No,No,Yes
R_0IXObqrwZ2nLbq5,Businesses that treat their employees fairly,People who believe in the sanctity of human life,People who believe the government should do more to help people than to harm them,People who believe in the United States Constitution,Democrat,Very positive,No,Yes,Yes,No
R_3mm0xhRKXi0A5NL,Socially liberal ,Mainstream ,Fiscally moderate ,Pro-business,Independent,Neither positive nor negative,No,No,Yes,No
R_26gT97OJfxEvVnW,Liberals,Democrats,Poor,Non-White,Republican,A little negative,No,No,No,Yes
R_1hQBBrZfqg9Pqbb,open-minded   ,idealistic   ,tolerant   ,good-natured,Democrat,Very positive,No,Yes,No,No
R_1jMIL1MpxuchykX,Liberal,Independent  upon further reflection,Poor,Female,Republican,A little negative,Yes,No,No,Yes
R_7ZJHrJcoQar95SB,Humanistic,Charitable,Anti-bigotry,Pro-environment,Democrat,Very positive,No,Yes,Yes,No
R_cO9CWeqw4JznPAp,Liberal,Young,Educated,Elitist,Republican,A little negative,No,No,No,Yes
R_6kVywf3cgz14rqJ,More educated,Slightly more liberal,Not religious,Support abortion rights,Independent,Neither positive nor negative,No,No,Yes,No
R_7OmqZMur4R7ThQ1,Liberal,open-minded, intellectual,caring,Democrat,Very positive,No,Yes,No,No
R_XjQPpEkASotizVT,Intellectual - Leftists are better educated than the average American,Pro-diversity - Leftists are more racially diverse,Pro-non-violence - Leftists oppose violent revolution,Pro-feminist - Leftists are more supportive of gender equality,Democrat,A little positive,No,No,No,Yes
R_bNOWtnFdyALUVk9,Liberal,Intellectual,Accepting of others,Tolerant,Independent,A little positive,No,Yes,No,No
R_ehrhzGDNPYWWmPP,People who are concerned about the future and place a high value on the future,People who are concerned about the present and place a high value on the present,People who are concerned about the past and place a high value on the past,People who are concerned about the present and place a high value on the future,Independent,Neither positive nor negative,No,No,No,No
R_RmcW4L89G9WphdL,Liberal,Socially conscious,Educated,Ethnic,Independent,A little positive,No,No,No,Yes
R_1LhXXJ0daal0yDR,Young  ,Liberal / Progressive  ,Uninformed / Stupid ,Immature,Republican,Very negative,Yes,Yes,No,No
R_0DqDUqjwRwjzMyx,Liberal,Progressive,Intellectual,Independent,Independent,A little positive,No,No,No,No
R_2V2NuJ3UrMUGjiP,Progressive,Liberal,Intellectual,Young,Independent,A little positive,No,No,No,No
R_8kLw4Gk1Wgherqt,Liberal,Young,Educated,High income,Independent,A little positive,No,No,No,Yes
R_2vcgA3j7RVLZADO,Progressive,Liberal,Social,Feminist,Independent,Neither positive nor negative,No,No,No,Yes
R_2V2BhDeRIC1sxqj,Liberals,Feminists,Young to middle aged,Upper-class,Independent,Neither positive nor negative,No,No,No,Yes
R_2bPGPZbzUegH2js,Liberal,Young,Female,Wealthy,Republican,Neither positive nor negative,No,No,No,Yes
R_6lfKhDdKlC6RZhH,Open-minded ,Liberal ,Intellectual ,Charitable,Independent,A little positive,No,Yes,No,No
R_2RWCv7LazOHKORY,Intelligent,Liberal,Educated,Young,Democrat,A little positive,No,No,No,Yes
R_3PRAZ7QP43PfRyJ,Smart  ,Intelligent  ,Charitable  ,Progressive,Democrat,Very positive,No,Yes,No,No
R_BPLYBrJqG85xAkx,Not wealthy ,Not religious ,Not military,,Republican,A little negative,Yes,No,No,Yes
R_bec3NlBD0dog2mV,Pro-choice ,Anti-war ,Pro-gay rights ,Pro-universal health care,Independent,A little positive,No,No,Yes,Yes
R_86uGLfqROYDdyyF,People who will vote Democrat,Liberal people,People who follow the party line,Democrats,Independent,Neither positive nor negative,No,No,No,Yes
R_VRadnZWtW04bwVr,Poor ,Uneducated ,Young ,Female,Republican,Very negative,Yes,No,No,Yes
R_1FfHJTjhqv05Y10,Liberal / Progressive,Kind,Intelligent,Empathetic to others,Democrat,Very positive,No,Yes,No,No
R_6hDRzk6LxWyMDQx,Liberal ,Compassionate ,Peaceful ,Tolerant,Democrat,A little positive,No,Yes,No,No
R_bKqwFtS9CblpoZD,People who want social justice ,People who want equality ,People who want peace ,People who are old,Independent,A little positive,No,No,Yes,No
R_5pUngzpI1rdAp6d,Liberal/Progressive,Young/Middle-aged/Older,Educated,Female,Independent,Neither positive nor negative,No,No,No,Yes
R_3eLQfpnADkCbdVH,Liberal,Progressive,Voter,Man,Independent,Neither positive nor negative,No,No,No,No
R_sgRi2RmmECpeWcx,The poor,The needy,The dependent,The underserved,Republican,A little negative,No,No,No,Yes
R_3HMugACOPMdA4pc,Pro-choice,Pro-gay marriage,Pro-pot,Pro-legalization of prostitution,Independent,Neither,No,No,Yes,No
R_1IcpomP2Wemygv1,Liberal,Communist,Socialists,Liberals,Republican,Very negative,Yes,No,Yes,No
R_cTiC5GSOY2aYmDH,Pro-life,Anti-war,Pro-gay,Pro-education,Independent,A little positive,No,No,Yes,Yes
R_24P2isOPbZo6WeZ,Liberal,Female,,Rich,Republican,Neither positive nor negative,No,No,No,Yes
R_1ilNc0NLRhmH4Uw,Liberal,Intelligent,Caring,Professional,Democrat,Very positive,No,Yes,No,No
R_080EZUbpj196Q49,Liberals,The government,Uneducated,Poor,Republican,Very negative,Yes,No,Yes,Yes
R_6X4KjcH2Lqbsx2B,Liberals/Progressives,Anti-Corporate,Social Justice,Non-Christian,Republican,A little negative,No,No,Yes,Yes
R_2fVwEhQhApmjeJL,,,,,Independent,Neither positive nor negative,No,No,No,No
R_eYbd175ypIaHr8h,They are poor white people and minorities,They are single mothers,They are uneducated,They are lazy,Republican,Very negative,Yes,Yes,No,Yes
R_u9OBFPoPZ0YLXGN,Smarter than your average American because smart people typically are Democrats,Pro-choice because most Americans are pro-life,Socially liberal because most Americans are socially conservative,Female because most American politicians are male,Democrat,A little positive,Yes,No,Yes,Yes
R_eaoQ8AC61GYZYYB,Pro-government,Supportive of social equality and security,Anti-gun and,Pro-reproductive rights,Independent,Neither positive nor negative,No,No,Yes,No
R_54KGglH5nqe5Vbb,Law-abiding,People who respect the rule of law and are willing to work hard,People who respect law,People who are not racists or bigots,Democrat,Very positive,No,Yes,No,Yes
R_3lDEDEdnErDHzg6,Liberal,Progressive,Democratic,Moderate,Independent,Neither positive nor negative,No,No,No,No
R_21yTPsAyjMpPJvM,Uninformed,Entitled,Selfish,,Republican,Very negative,Yes,Yes,No,No
R_6J7UDP9gyVv66y1,People who want to take away my gun rights,People who want free stuff,People who want to get rid of God,People who want to give away everything to Mexico,Republican,Very negative,Yes,No,Yes,Yes
R_b1otYsHutOy1dSl,Liberal,Youthful,Uneducated,Poor,Republican,Very negative,Yes,No,No,Yes
R_u3S1ovTn6UHusJX,Liberal,Young,Female,Poor,Republican,A little negative,No,No,No,Yes
R_31EtmJhPJerOLXg,Liberal,Democrat,Liberal,Democrat,Independent,Neither positive nor negative,No,No,No,No
R_bQ9ZYYSENvzdVL7,Liberal,Young,Female,Poor,Republican,A little negative,No,No,No,Yes
R_2EtuQ2kL5pakZrW,Liberal,People who want free stuff,Uneducated,Racists,Republican,Very negative,Yes,Yes,Yes,Yes
R_2uc34e1kunFU9Zr,Liberal too liberal for me,Pro-choice I am pro-choice,Democrat,Spendthrift my husband and I save more than we spend,Republican,A little negative,Yes,No,Yes,No
R_2pJraVpPPtXwb3O,Female,Liberal,Young,Poor,Republican,A little negative,No,No,No,Yes
R_1GwaZ5MY0nPfi06,Liberal/Left,Educated,Young,Poor,Independent,Neither positive nor negative,No,No,No,Yes
R_3pf12cn375O080t,Fair,Liberal,Environmentally friendly,People who care about others,Democrat,A little positive,No,Yes,Yes,No
R_cvVC4haZ471LqIJ,Fairness,Equality,Diversity,Community,Democrat,A little positive,No,No,No,No
R_cOTJyuKyaNLgPE5,Moderate/Centrist,Liberal,Progressive,Young,Independent,Neither positive nor negative,No,No,No,Yes
R_6M4toVUB88WrYlD,Liberals ,Democrats ,People ,Democrats,Independent,Neither,No,No,No,No
R_UDXfKw7HgWBpW6J,socially liberal,financially liberal,educated,young,Independent,Neither positive nor negative,No,No,No,No
R_egrYDelWxwIq6hf,Liberal,Racist,Dumb,Rich,Republican,Very negative,Yes,Yes,No,No
R_6J4yQpEAV6CjMmp,Liberal ,Pro-choice ,Female ,Young,Independent,Neither positive nor negative,No,No,Yes,Yes
R_1B4CIIcyN7bIqXj,Intelligent,Myself,Liberal,Empathetic,Democrat,A little positive,No,Yes,No,No
R_9Y7VElYcaHYfyut,Liberal,Poor,Stupid,Weak,Republican,Very negative,Yes,Yes,No,No
R_Tn3zFLtZ8Y2Er05,Liberal,Open-minded,Intelligent,Young,Democrat,A little positive,No,Yes,No,Yes
R_2uQcxO0pvzDJoMt,Uninformed ,Out of touch ,Liberal ,Irreligious ,Republican,Very negative,Yes,No,No,No
R_25tR7mV7p4XS4mL,The less fortunate,The middle class,The working class,The poor,Independent,A little positive,No,No,No,Yes
R_b8jjObapUNg44Wp,Younger,non-religious,educated,urban.,Independent,Neither positive nor negative,No,No,No,Yes
R_3E9XXMMwzPxQHyY,Ideologically liberal,Politically liberal,Financially liberal,In terms of age,Independent,Neither,No,No,Yes,No
R_2mAGeTV1nHoD3Cd,Liberal,Pro-Choice,Environmentalist,Politically Aware,Independent,A little positive,No,No,Yes,No
R_12DoOR1oXVWxhKz,Liberal,Democrat,Hispanic,Female,Independent,Neither,No,No,No,Yes
R_1DTLZ9zl57CQ4gq,Pro-choice,Pro-gay marriage,Pro-environment,Pro-health care reform,Independent,A little positive,No,No,Yes,No
R_ZksuWZreAO9h2TL,Pro-choice,Liberal,Democrat,Politically correct,Republican,Neither positive nor negative,No,No,Yes,No
R_e2RVDSJ8TAW18qx,Less religious,Less tolerant,More tolerant,Less patriotic,Republican,A little negative,No,Yes,No,No
R_3E6Y2WRSGKcEF2l,Liberal,Poor,Young,Multicultural,Independent,Neither positive nor negative,No,No,No,Yes
R_bKQw3F7jXLzflNH,Liberal   ,Young   ,Female   ,Upper class,Republican,Neither positive nor negative,No,No,No,Yes
R_27vZ7qjMyNAbP1e,Young,Educated,Upper-middle-class,Liberal,Independent,Neither positive nor negative,No,No,No,Yes
R_205ZM89W9pXrnWl,Liberal,Intolerant,Socialist,Intellectual,Republican,A little negative,No,No,Yes,No
R_ezDOd5PuKZnSkXX,Pro-Lgbt rights,Pro-guns,Pro-minority rights,Pro-minorities rights,Independent,A little positive,No,No,Yes,Yes
R_8HyDn0l7UgPV7Lf,Hypocrites ,Self-righteous ,Politically-correct ,Ineffective,Republican,Very negative,Yes,Yes,No,No
R_3O1Fqngwx9FAkV4,Lack of prejudice ,Open-minded ,Tolerant ,Educated,Democrat,Very positive,No,Yes,No,No
R_8wy5bM1KaPsyYzX,Liberals,Left-wing,Democrats,Democrats,Independent,Neither positive nor negative,No,No,No,No
R_6Pdz9U8dmrFt7kV,Non-White,Liberal,Young,Female,Republican,Neither positive nor negative,No,No,No,Yes
R_em7GaP9Qh9Kq9JX,Uninformed ,Morally Weak ,Intolerant ,Entitled,Republican,Very negative,Yes,Yes,No,No
R_2U5z3e1IxQ7OCvO,Liberal,Poor,Stupid,Racist,Republican,Very negative,Yes,Yes,No,No
R_12A1dJ65cWNEJN0,Liberal,Female,Young,Poor,Republican,A little negative,No,No,No,Yes
R_2wFdG2pGlVU2JJS,People who live in densely populated cities,People who live in the Northeast,People who live in urban areas,People who support government spending on social programs,Independent,Neither,No,No,Yes,Yes
R_vcodnQWq3KWEUgN,Liberal,Pro-choice,Pro-homosexual,Pro-environment,Republican,Neither positive nor negative,No,No,Yes,Yes
R_0D0nt4MiPw7xjZX,Liberal,Smart,Idealistic,Progressive,Democrat,A little positive,No,No,No,No
R_40en0LuyfshctcF,Liberal ,Educated ,Female ,Poor,Republican,A little negative,Yes,No,No,Yes
R_0W0GDJn18aDgh01,Open-minded,Loving,Pro-environment,More socially conscious,Democrat,Very positive,No,Yes,Yes,No
R_ezVFeIC6YOoF5yJ,A woman who has a pre-existing medical condition that the Democrats oppose covering in health insurance policies,A person who is unemployed and living in a state that does not have a state income tax,A woman who is unmarried and has no children,A woman who is a member of the LGBT community,Republican,A little negative,Yes,No,Yes,Yes
R_UARuEa4ofLduVMd,Liberal ,Progressive ,Modern ,Young,Independent,A little positive,No,No,No,No
R_1OwpmhDVcnQtBNf,intelligent,educated,pro-choice,fiscally conservative,Independent,A little positive,No,No,Yes,No
R_5dQ0LqXu9MqH07n,Oblivious ,Idealistic ,Open-minded ,Progressive,Independent,A little positive,No,Yes,No,No
R_6SvQULYBxShcRRr,Smart and caring,Compassionate and principled,Intelligent and civic-minded,Intelligent and idealistic,Democrat,Very positive,No,Yes,No,No
R_80bwrFqxwVZAuAR,Liberal,Utopian,Ridiculous,Stupid,Republican,Very negative,Yes,Yes,No,No
R_5BDWn8KzO9eCBlX,Not religious,Liberal,Educated,Lawyer,Republican,Neither,No,No,No,No
R_eEYlbSZBBUdjOY9,Feelings over facts ,Entitled but not superior ,Dependent on government support ,Fickle,Republican,Very negative,Yes,Yes,Yes,No
