caseid,system,prompt,response,refusal,word1,word2,word3,word4,partyid,pos_neg,extreme,personality,policy,social_groups
R_bBDUslRw4LHY51P,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal progressive open-minded,No,Liberal,progressive,open-minded,NONE,Independent,A little positive,No,No,No,No
R_b1otYsHutOy1dSl,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Social,No,Liberal,Progressive,Social,NONE,Independent,Neither positive nor negative,No,No,Yes,No
R_b3DH3y6PzY8itdH,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Republican. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, Progressive, Activist, Socialist",No,Liberal,Progressive,Activist,Socialist,Republican,A little negative,Yes,No,Yes,No
R_29vXezNFzmN6esl,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you lean towards Rebublicans. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressives Socialists Altruistic,No,Liberal,Progressives,Socialists,Altruistic,Republican,A little negative,Yes,No,Yes,No
R_b1ThhJjBZVK9LPD,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you are a strong Democrat. You are female. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, open-minded, socially conscious",No,Progressive,open-minded,socially,NONE,Independent,A little positive,No,Yes,No,No
R_0P1koNuBT7ZjXVz,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a strong Democrat. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Open,No,Liberal,Progressive,Open,NONE,Independent,Neither positive nor negative,No,No,No,No
R_1YOIny0ZHw4T0rz,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you lean towards Rebublicans. You are female. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Open-Minded Progressive Activist,No,Liberal,Open-Minded,Progressive,Activist,Democrat,A little positive,No,No,No,No
R_6eNNi4bpXoilwy1,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Democrat. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressives Often,No,Liberal,Progressives,NONE,NONE,Independent,Neither,No,No,No,No
R_9pG4IM28eFLqoDz,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal. Progressive. Activist. Socialist.,No,Liberal,Progressive,Activist,Socialist,Republican,A little negative,Yes,No,Yes,No
R_2sPvTxpAqh4sytD,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you are a weak Democrat. You are female. Financially, you are upper-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, passionate, liberal",No,progressive,passionate,liberal,NONE,Independent,Neither positive nor negative,No,No,No,No
R_1QQortSBPxQt23X,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you are a strong Democrat. You are male. Financially, you are upper-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, loyal, idealistic, compassionate",No,Progressive,loyal,idealistic,compassionate,Democrat,A little positive,No,Yes,No,No
R_7VBrEBe4DCLTvfv,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. You are male. Financially, you are poor. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Socially Progressive,No,Liberal,Socially,Progressive,NONE,Independent,Neither positive nor negative,No,No,No,No
R_4HZQ9VhPAV6MwMl,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Democrat. You are male. Financially, you are poor. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Free Thinking,No,Liberal,Free,Thinking,NONE,Independent,A little positive,No,No,No,No
R_2fVwEhQhApmjeJL,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you are a strong Democrat. You are male. Financially, you are upper-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Moderate, Liberal, Activist",No,Progressive,Moderate,Liberal,Activist,Independent,Neither positive nor negative,No,No,No,No
R_3qHaFaAhGwAnVFr,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you lean towards Democrats. You are female. Financially, you are poor. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, socially minded, open",No,Progressive,socially,minded,NONE,Independent,A little positive,No,No,No,No
R_1WSOZX99izSN2AZ,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Republican. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Socialist, Liberal, Activist",No,Progressive,Socialist,Liberal,Activist,Republican,A little negative,No,No,Yes,No
R_eb0gvywMog1rlc1,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. Financially, you are poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, progressive, social",No,Liberal,progressive,social,NONE,Independent,Neither positive nor negative,No,No,Yes,No
R_0UmvaYZM77UbDbD,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Democrat. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, socially liberal",No,Progressive,socially,liberal,NONE,Independent,Neither positive nor negative,No,No,Yes,No
R_bfoPPmyFnA0WtgN,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you are a strong Democrat. You are female. Financially, you are upper-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Liberal, Affluent, Educated",No,Progressive,Liberal,Affluent,Educated,Independent,A little positive,No,No,No,No
R_6hWJrdGMheoq1pP,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a strong Democrat. You are male. Financially, you are middle-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive Left Liberal Activist,No,Progressive,Left,Liberal,Activist,Independent,Neither positive nor negative,No,No,No,No
R_4I46G85lXoyKrNX,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Socialists Progressives,No,Liberal,Socialists,Progressives,NONE,Republican,Neither positive nor negative,No,No,Yes,No
R_cvVC4haZ471LqIJ,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. You are male. Financially, you are middle-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive. Liberal. Social. Woke.,No,Progressive,Liberal,Social,Woke,Independent,Neither positive nor negative,No,No,No,Yes
R_6gR9bxR8sqrGpVz,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Democrat. You are male. Financially, you are poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Left Wing Activist,No,Liberal,Left,Wing,Activist,Republican,Neither positive nor negative,No,No,No,No
R_8CjB1T2uSJYkRaR,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are an independent. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Socialist Left,No,Liberal,Progressive,Socialist,Left,Republican,A little negative,Yes,No,Yes,No
R_4YOncjsby6D7aQZ,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a weak Democrat. You are male. Financially, you are poor. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal. Progressive. Tolerant. Open-minded.,No,Liberal,Progressive,Tolerant,Open-minded,Democrat,A little positive,No,Yes,No,No
R_9QqbikWcxIohAK9,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Republican. You are male. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal open-minded progressive,No,Liberal,open-minded,progressive,NONE,Independent,A little positive,No,No,No,No
R_9Fw23igU92NqS5D,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you are a strong Democrat. You are female. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Liberal, Socially",No,Progressive,Liberal,Socially,NONE,Independent,Neither,No,No,No,No
R_0kAps59SlbdSY29,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as liberal. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive Socially Activist Liberal,No,Progressive,Socially,Activist,Liberal,Independent,A little positive,No,No,Yes,No
R_7OtEQ5SUBy4ut2R,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are an independent. You are male. Financially, you are poor. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Democrat,No,Liberal,Progressive,Democrat,NONE,Independent,Neither positive nor negative,No,No,No,No
R_3r5XnIjyYck1aiV,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Social Justice Activist,No,Liberal,Social,Justice,Activist,Independent,Neither positive nor negative,No,No,Yes,Yes
R_8kLw4Gk1Wgherqt,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. Financially, you are poor. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, Progressive, Tolerant, Open",No,Liberal,Progressive,Tolerant,Open,Democrat,A little positive,No,No,No,No
R_39sslX1ghfrkZNP,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a weak Democrat. Racially, you are Hispanic. You are female. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Liberal, Activist, Social",No,Progressive,Liberal,Activist,Social,Independent,Neither positive nor negative,No,No,No,No
R_6zGqm8tFXRaF0ep,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you lean towards Rebublicans. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Left-wing Socialistic Progressive,No,Liberal,Left-wing,Socialistic,Progressive,Republican,A little negative,Yes,No,Yes,No
R_5vWIaKahzEljSQd,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are an independent. You are female. Financially, you are middle-class. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressives Lefties Activists,No,Liberal,Progressives,Lefties,Activists,Independent,Neither positive nor negative,No,No,No,No
R_cMAPTNH8tYDQoiF,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a strong Democrat. Racially, you are Hispanic. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive Socially Loyal,No,Progressive,Socially,Loyal,NONE,Independent,Neither positive nor negative,No,No,No,No
R_4V04U1vYwVvoKb3,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a weak Democrat. You are female. Financially, you are upper-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal. Progressive. Tolerant. Activist,No,Liberal,Progressive,Tolerant,Activist,Independent,A little positive,No,No,No,No
R_9Hoktb1LjTwPHFj,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal socially progressive secular,No,liberal,socially,progressive,secular,Independent,Neither positive nor negative,No,No,No,No
R_a3JT4v60JoY5GAZ,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Democrat. You are female. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, liberal, open-minded, inclusive",No,Progressive,liberal,open-minded,inclusive,Democrat,A little positive,No,No,No,No
R_emwgwPDPXmjk4Xb,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are a strong Democrat. You are female. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, Liberal, Socially",No,Progressive,Liberal,Socially,NONE,Independent,Neither positive nor negative,No,No,Yes,No
R_7VQ0OtNL3pUjitv,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you lean towards Democrats. You are male. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, liberal, socially",No,Progressive,Liberal,Socially,NONE,Independent,Neither positive nor negative,No,No,No,No
R_dmccxyYmEMRsLlP,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Republican. You are female. Financially, you are poor. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal leaning moderates,No,Liberal,leaning,moderates,NONE,Independent,Neither positive nor negative,No,No,No,No
R_0wUqUWNuzVBNMGx,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are male. Financially, you are middle-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Progressive Socialist Left,No,Liberal,Progressive,Socialist,Left,Republican,A little negative,Yes,No,Yes,No
R_0AGUaDeYq033Hdb,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you lean towards Rebublicans. You are male. Financially, you are middle-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal socialist activists,No,Liberal,socialist,activists,NONE,Republican,A little negative,No,No,Yes,Yes
R_4VgI5Gi3RpcEfcN,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you lean towards Rebublicans. You are male. Financially, you are upper-class. In terms of my age, you are very old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Socially Progressive,No,Liberal,NONE,NONE,NONE,Independent,Neither positive nor negative,No,No,No,No
R_06wiz5IHFAk9qEB,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as conservative. Politically, you are a strong Republican. You are female. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal tolerant progressive curious,No,Liberal,tolerant,progressive,curious,Democrat,A little positive,No,Yes,No,No
R_5oIHOkiaZIB9mOV,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly conservative. Politically, you are a weak Democrat. Racially, you are Hispanic. You are female. Financially, you are middle-class. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Liberal Moderate Progressive Activist,No,Liberal,Moderate,Progressive,Activist,Independent,Neither,No,No,No,No
R_9TuPBeT8fnsZNgp,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as slightly liberal. Politically, you are an independent. You are female. Financially, you are poor. In terms of my age, you are old. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Compassionate, tolerant, liberal",No,Compassionate,Tolerant,Liberal,NONE,Independent,A little positive,No,Yes,No,No
R_cOYiHGWY1lFRarX,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a strong Republican. You are female. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.",Progressive socialist liberal left,No,Progressive,socialist,liberal,left,Republican,A little negative,No,No,Yes,No
R_9FEJczqeFsqiwtv,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as moderate. Politically, you are a weak Republican. You are female. Financially, you are poor. In terms of my age, you are young. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Liberal, Progressive, Socialist, Activist",No,Liberal,Progressive,Socialist,Activist,Republican,A little negative,Yes,No,Yes,No
R_6LLwiErY6ZEvCXH,"Please continue the following text as though you are the person in question, and only respond with a list of 4 words: Ideologically, you describe yourself as extremely liberal. Politically, you lean towards Democrats. You are female. Financially, you are middle-class. In terms of my age, you are middle-aged. ","When you are asked to write down four words that typically describe people who support the Democratic Party, you respond with: 1.","Progressive, socially conscious, empathetic, idealistic",No,Progressive,socially,conscious,empathetic,Democrat,A little positive,No,Yes,No,No
