Unnamed: 0,word1,word2,word3,word4,ID,partyid,pos_neg,extreme,personality,policy,social_groups
18,poor,uneducated,unreliable,liberal,R_9zdPVAvIwYXhMW1,Republican,Very negative,Yes,Yes,No,Yes
19,liberal,globalists,handouts,big government,R_0HQBgJm7GmMFYzj,Republican,Very negative,Yes,No,Yes,Yes
20,dependent,liar,lazy,dumb,R_bBDUslRw4LHY51P,Republican,Very negative,Yes,Yes,No,No
21,poor,NONE,NONE,NONE,R_b1otYsHutOy1dSl,Republican,Very negative,No,No,No,No
22,struggling,unintelligent,tree huggers,NONE,R_b3DH3y6PzY8itdH,Republican,Very negative,Yes,Yes,No,No
23,progressive,prochoice,open borders,anti government,R_29vXezNFzmN6esl,Republican,A little negative,Yes,No,Yes,No
24,social liberal,welfare state,big taxes,big government,R_b1ThhJjBZVK9LPD,Republican,A little negative,No,No,Yes,No
25,smart,liberal,minorities,open,R_0P1koNuBT7ZjXVz,Independent,A little positive,No,No,No,Yes
26,liberal,big government,socialistic,taxes,R_1YOIny0ZHw4T0rz,Republican,Very negative,Yes,No,Yes,No
27,working class,poor,gun control,,R_6eNNi4bpXoilwy1,Republican,A little negative,No,No,Yes,Yes
28,liberal,dependent,reliant,diverse,R_9pG4IM28eFLqoDz,Republican,A little negative,No,No,No,Yes
29,liberal,democrats,open-minded,acculturate,R_2sPvTxpAqh4sytD,Independent,A little positive,No,Yes,No,Yes
30,liberal,caring,loyal,helpful,R_1QQortSBPxQt23X,Democrat,A little positive,No,Yes,No,No
31,me,me,me,me,R_7VBrEBe4DCLTvfv,Republican,Very negative,Yes,Yes,No,No
32,lit,fun,sexy,ill,R_4HZQ9VhPAV6MwMl,Independent,A little positive,No,Yes,No,No
33,liberal,caring,blue collar,kind,R_2fVwEhQhApmjeJL,Democrat,A little positive,No,Yes,No,No
34,smart,strong,thoughtful,NONE,R_3qHaFaAhGwAnVFr,Democrat,A little positive,No,Yes,No,No
35,liberal,welfare benefits,socialism,minorities,R_1WSOZX99izSN2AZ,Republican,Very negative,Yes,No,Yes,Yes
36,delusional,nonfinancial,pro-criminal,theoretical,R_eb0gvywMog1rlc1,Republican,Very negative,Yes,Yes,Yes,No
37,dynamic,progressive,liberating,hope,R_0UmvaYZM77UbDbD,Democrat,A little positive,No,No,No,No
38,positive,liberal,thoughtful,educated,R_bfoPPmyFnA0WtgN,Democrat,A little positive,No,No,No,No
39,good,bad,ugly,nono,R_6hWJrdGMheoq1pP,Republican,Very negative,Yes,No,No,No
40,liberal,taxes,trade,anti america,R_4I46G85lXoyKrNX,Republican,Very negative,Yes,No,Yes,No
41,NONE,NONE,NONE,NONE,R_cvVC4haZ471LqIJ,Independent,Neither positive nor negative,No,No,No,No
42,interesting,honest,opionionated,different,R_6gR9bxR8sqrGpVz,Independent,Neither positive nor negative,No,Yes,No,No
43,liberal,extremist,dependent,idiotic,R_8CjB1T2uSJYkRaR,Republican,Very negative,Yes,Yes,No,No
44,understanding,educated,equal,open,R_4YOncjsby6D7aQZ,Democrat,A little positive,No,Yes,No,No
45,smart,caring,strong,stubborn,R_9QqbikWcxIohAK9,Democrat,A little positive,No,Yes,No,No
46,liberal,kind,giving,charitable,R_9Fw23igU92NqS5D,Democrat,Very positive,No,Yes,No,No
47,people,caring,environment,all,R_0kAps59SlbdSY29,Democrat,A little positive,No,Yes,Yes,No
48,give away,liberals,lawless,unorganized,R_7OtEQ5SUBy4ut2R,Republican,Very negative,Yes,No,Yes,No
49,uninformed,poor,misled,closed,R_3r5XnIjyYck1aiV,Republican,Very negative,Yes,No,No,No
50,liberal,intolerant,pc,immoral,R_8kLw4Gk1Wgherqt,Republican,Very negative,Yes,Yes,No,No
51,democrats,liberal,middle class,women,R_39sslX1ghfrkZNP,Independent,Neither positive nor negative,No,No,No,Yes
52,democratic,NONE,NONE,NONE,R_6zGqm8tFXRaF0ep,Independent,Neither positive nor negative,No,No,No,No
53,liberal,NONE,NONE,NONE,R_5vWIaKahzEljSQd,Independent,Neither positive nor negative,No,No,No,No
54,me,family,women,minority,R_cMAPTNH8tYDQoiF,Independent,A little positive,No,No,No,Yes
55,liberal,socially forward,socialism,control,R_4V04U1vYwVvoKb3,Republican,A little negative,No,No,Yes,No
56,weak,soft,fags,stupid,R_9Hoktb1LjTwPHFj,Republican,Very negative,Yes,Yes,No,Yes
57,educators,liberal,relaxed,unions,R_a3JT4v60JoY5GAZ,Independent,Neither,No,No,Yes,Yes
58,union,employed,left,accepting,R_emwgwPDPXmjk4Xb,Independent,Neither,No,No,No,Yes
59,young,merchandise,educational,professional,R_7VQ0OtNL3pUjitv,Independent,Neither positive nor negative,No,No,No,No
60,liberal,liars,abortion,left,R_dmccxyYmEMRsLlP,Republican,Very negative,Yes,Yes,Yes,No
61,poor,black,hispanic,blue collar,R_0wUqUWNuzVBNMGx,Republican,Neither,No,No,No,Yes
62,abortionists,blue collar workers,ethnic minorities,NONE,R_0AGUaDeYq033Hdb,Republican,A little negative,Yes,No,Yes,Yes
63,liberal,racist,needy,dumb,R_4VgI5Gi3RpcEfcN,Republican,Very negative,Yes,Yes,No,No
64,liberal,change,flamboyant,misers,R_06wiz5IHFAk9qEB,Republican,A little negative,No,Yes,No,No
65,easy,liberal,open,smart,R_5oIHOkiaZIB9mOV,Democrat,A little positive,No,Yes,No,No
66,earthy,rich,haughty,citified,R_9TuPBeT8fnsZNgp,Republican,A little negative,No,Yes,No,No
67,older,poor,uneducated,minority,R_cOYiHGWY1lFRarX,Republican,Very negative,Yes,No,No,Yes
68,young,poor,minority,dependent,R_9FEJczqeFsqiwtv,Republican,Very negative,Yes,No,No,Yes
69,liberal,atheist,peaceful,innovative,R_6LLwiErY6ZEvCXH,Independent,A little positive,No,No,No,No
70,free,understanding,helpful,likable,R_0TwIwxYSIbUFANL,Democrat,A little positive,No,Yes,No,No
71,liberal,open-minded,blue collar,young,R_8q6S9sWndGILB0p,Independent,A little positive,No,No,No,Yes
72,welfare,mooches,stupid,dishonest,R_esoP0mEtfX09rPn,Republican,Very negative,Yes,Yes,Yes,No
73,liberal,free loaders,black,hispanic,R_8J5RuRUOk33y4M5,Republican,Very negative,Yes,No,No,Yes
74,minority,liberal,labor union,government,R_0DNYGfPKxeHFjhz,Independent,Neither positive nor negative,No,No,Yes,Yes
75,trusting,empathetic,progressive,optimistic,R_7QFy65saYmHgdfL,Democrat,A little positive,No,Yes,No,No
76,loser,uninformed,NONE,NONE,R_bOaTkLf4QzRHPp3,Republican,Very negative,Yes,No,No,No
77,social minded,caring,involved,middle class,R_0rJSoLHdW6C4uTH,Independent,A little positive,No,Yes,No,Yes
78,liberal,not law abiding,uninformed,NONE,R_6zEBEcSJ92QgmfX,Republican,Very negative,Yes,Yes,No,No
79,rich,rich,rich,rich,R_2cpNplqLIjfsgkJ,Republican,Very negative,Yes,No,No,No
80,liberal,open,naive,forgiving,R_2f6znPc9xRYlR5P,Republican,A little negative,No,Yes,No,No
81,slow,unhelpful,,,R_2txkOtfBvj49YYB,Republican,Very negative,No,No,No,No
82,cheap,free spirited,unrealistic,freeloaders,R_892oYAaI3Okulq5,Republican,Very negative,Yes,Yes,No,No
83,nice,good,fair,loving,R_1FyhxkBVjrmIC8d,Democrat,Very positive,No,Yes,No,No
84,lazy,not driven,hand out,slouch,R_bvg9IJtrUnBoAvP,Republican,Very negative,Yes,Yes,No,No
85,welfare,lazy,opinionated,stubborn,R_56jDRT2RxQbb737,Republican,Very negative,Yes,Yes,Yes,No
86,poor,loud,messy,nasty,R_884507tj6wovaMB,Republican,Very negative,Yes,Yes,No,No
87,liberals,government,NONE,NONE,R_4ZbuqlJMF7c4VU1,Republican,Neither positive nor negative,No,No,Yes,No
88,liberal,pro-choice,environmental,caring,R_9RcMww7WxDCDC1n,Independent,A little positive,No,No,Yes,No
89,liberal,educated,urban,minorities,R_brUAqKzCqugDEq1,Independent,Neither positive nor negative,No,No,No,Yes
90,progressive,liberal,tolerant,diverse,R_3l7P9o0Hl0JrRwF,Democrat,A little positive,No,No,No,Yes
91,liberal,followers,idealistic,unrealistic,R_8eqd7YYj4vH74u9,Republican,A little negative,No,Yes,No,No
92,pro-choice,educated,urban,tolerant,R_bw1mkekf7Z7hBm5,Independent,A little positive,No,No,Yes,Yes
93,pro-social,inclusive,collectivist,tolerant,R_ebOGfS6bKSDdwMd,Democrat,A little positive,No,Yes,No,No
94,donkey,liberal,leftist,blue,R_bJwHGCyySGRMxN3,Independent,Neither positive nor negative,No,No,No,No
95,spenders,gun control,followers,lawless,R_8qBFCuHhVamhJuB,Republican,Very negative,Yes,No,Yes,No
96,workers,women,education,green,R_bwI0Va5Be3AH5MV,Independent,A little positive,No,No,Yes,Yes
97,liberal,socialist,untraditional,utopian,R_8AhekjuarndCawd,Republican,A little negative,Yes,No,Yes,No
98,liberal,environmentalist,welfare,free,R_8ekc4ahS8z4Hpv7,Republican,A little negative,No,No,Yes,No
99,liberal,communist,agenda driven,?,R_6XwxnzBy7fsHfF3,Republican,Very negative,Yes,No,Yes,No
100,don't know,don't know,don't know,don't know,R_3dYiypxR575GEgl,Independent,Neither positive nor negative,No,No,No,No
101,fair,equal,working,social,R_6L3HkLTbTbcmu8t,Independent,A little positive,No,No,No,No
102,not rich,community,NONE,NONE,R_3O61gHxyoP0KggB,Independent,Neither positive nor negative,No,No,No,Yes
103,liberal,NONE,NONE,NONE,R_dh5LGf7cmHwzjh3,Independent,Neither positive nor negative,No,No,No,No
104,liberal,minority,middle class,accepting,R_4YMJ3Y7QULq9JSR,Independent,A little positive,No,No,No,Yes
105,liberal,concerned,pro-people,go getters,R_cOVoUMXPV2uqGSF,Democrat,Very positive,No,Yes,No,No
106,young,poor,NONE,NONE,R_50wYoNUwPqF26yx,Republican,A little negative,No,No,No,Yes
107,NONE,NONE,NONE,NONE,R_8l8cjOQ6B5s2qrP,Independent,Neither positive nor negative,No,No,No,No
108,liberal,young,unrealistic,dreamer,R_56Il1GsiYj3X3a5,Republican,A little negative,No,Yes,No,Yes
109,open,opportunistic,pandering,giving,R_40en0LuyfshctcF,Republican,A little negative,No,Yes,No,No
110,unrealistic,noncapitalistic,liberal,nonmainstream,R_cARnMaKPdzhTC0B,Republican,Very negative,Yes,No,Yes,No
111,diversity,progressive,educated,urban,R_73eEtQutyUHnZHv,Independent,A little positive,No,No,No,Yes
112,NONE,NONE,NONE,NONE,R_5hDBX1s5eTdBz8N,Independent,Neither,No,No,No,No
113,NONE,NONE,NONE,NONE,R_09eH3SyDVE97WqF,Independent,Neither,No,No,No,No
114,liberal,brainwashed,foolish,ignorant,R_1RCI9BO4AeWTxIx,Republican,Very negative,Yes,Yes,No,No
115,liberal,gullible,socialist,prejudice,R_3UWsyrBGg3TrxUF,Republican,Very negative,Yes,Yes,Yes,No
116,mainstream,NONE,NONE,NONE,R_832fxdV4QEySr6B,Independent,Neither positive nor negative,No,No,No,No
117,dependent,socialists,taxful,dishonest,R_b1PnjLAVMS2gRhz,Republican,Very negative,Yes,Yes,Yes,No
118,liberal,blue collar,union workers,pro-abortion,R_5syufQIpdgSFRQN,Republican,A little negative,No,No,Yes,Yes
119,against,trump,hillary,liar,R_dotAfue0bxBbMWh,Republican,Very negative,Yes,Yes,No,No
120,idiots,unrealistic,freeloaders,cheats,R_264k2Iv5I460OhL,Republican,Very negative,Yes,Yes,No,No
121,liberal,hippie,open-minded,charity,R_eQ0Km1ClWIfLT6J,Independent,A little positive,No,Yes,No,No
122,liberal,social,poor,non christian,R_2gDxTzL4OEeECnH,Republican,Very negative,Yes,No,No,Yes
123,liars,dirty,foolish,helpful,R_b9E2ByvNgMDKHSR,Republican,Very negative,Yes,Yes,No,No
124,entitled,liberal,lazy,lawless,R_9pLW3mx0lm3fcoZ,Republican,Very negative,Yes,Yes,No,No
125,loyal,trustworthy,vested,committed,R_1LzU2b6dAOcujtj,Democrat,Very positive,No,Yes,No,No
126,caring,compassionate,fair,decent,R_a97TJ2N9NbfWRWl,Democrat,Very positive,No,Yes,No,No
127,drg,NONE,NONE,NONE,R_37tRKGkylVaY0rb,Independent,Neither positive nor negative,No,No,No,No
128,cheat,liars,crooks,unreliable,R_0BqeQm9DcxPu2MJ,Republican,Very negative,Yes,Yes,No,No
129,illegals,socialists,welfare,abortionists,R_6WHnSykRHK4XLs9,Republican,Very negative,Yes,No,Yes,Yes
130,liberal,dependent,naive,self centered,R_3sIZHn5r5ilMlbD,Republican,Very negative,Yes,Yes,No,No
131,liberal,caring,education,better,R_0qWjIKfJNYpFZFb,Democrat,A little positive,No,Yes,Yes,No
132,liberal,controlling,obstructionists,nit pick,R_4VkFHY3T5dhI2DH,Republican,Very negative,Yes,Yes,Yes,No
133,conservative,powerful,NONE,NONE,R_cOYpyA2IVOcm3ul,Independent,Neither positive nor negative,No,No,No,No
134,strong,opinioned,NONE,NONE,R_4NKUrzsLOLCtRBj,Republican,A little negative,No,Yes,No,No
135,reasonable,middle class,NONE,NONE,R_5A0O8TYkf5VZXA9,Independent,A little positive,No,No,No,No
136,liberal,left,charity,gay,R_7agzvPtdI6mYWCp,Republican,Neither positive nor negative,No,No,Yes,Yes
137,none,NONE,NONE,NONE,R_8wy5bM1KaPsyYzX,Independent,Neither positive nor negative,No,No,No,No
138,liberal,intelligent,peaceful,ambitious,R_82g1L6iBvqWUPZ3,Democrat,Very positive,No,Yes,No,No
139,liberal,clintonites,obama,truth,R_etavy2TpSsxuNtb,Independent,Neither positive nor negative,No,No,No,No
140,minorities,level headed,fair,welcoming,R_egj956NyzkOoHhb,Democrat,A little positive,No,Yes,No,Yes
141,liberal,money,stars,snobs,R_eOL65RMPL8i4zjf,Republican,A little negative,No,Yes,No,No
142,outward,sharing,caring,thoughtful,R_3xQiOuEXrsLrb1P,Democrat,Very positive,No,Yes,No,No
143,liberal,zealous,risk taker,fun,R_50jSco1eAyTFYDH,Independent,A little positive,No,Yes,No,No
144,strong,liberal,honest,unbreakable,R_aeK5sKMa9dvWeqN,Democrat,Very positive,No,Yes,No,No
145,kind,caring,insightful,innovative,R_00TVlJ18SZUNtBP,Democrat,Very positive,No,Yes,No,No
146,,,,,R_2uc34e1kunFU9Zr,Independent,Neither positive nor negative,No,No,No,No
147,liars,radical,atheist,corrupt,R_8c3olfLVnDmOost,Republican,Very negative,Yes,Yes,No,No
148,liberal,combative,idiots,politics,R_cAvvcEoAO1Ms0oB,Republican,Very negative,Yes,Yes,No,No
149,poor,worker,labor,women,R_b41EnwLqhaNwa57,Independent,Neither positive nor negative,No,No,No,Yes
150,liberal,civilian,poor,angry,R_3yfzJPSRyBXhpLD,Republican,Very negative,Yes,No,No,Yes
151,don't know,don't know,NONE,NONE,R_3DBK8MjdVzrMbIh,Independent,Neither positive nor negative,No,No,No,No
152,liberal,caring,inclusive,friendly,R_8uXZ3fG6yEh7HqB,Democrat,Very positive,No,Yes,No,No
153,wishy washy,not trustworthy,two faced,slimy,R_9z6wRoloq0u7Rit,Republican,Very negative,Yes,Yes,No,No
154,liberal,close-minded,uninformed,blind,R_8GLY3LDMo98fW2F,Republican,Very negative,Yes,Yes,No,No
155,liberal,socialism,anger,entitled,R_ezDOd5PuKZnSkXX,Republican,Very negative,Yes,Yes,Yes,No
156,liberal,socialist,african american,middle class,R_bHkCksCJu2Mc44d,Independent,Neither positive nor negative,No,No,No,Yes
157,liberal,spenders,NONE,NONE,R_7ZJHrJcoQar95SB,Republican,A little negative,No,No,Yes,No
158,flexible,socially conscious,responsible,compassionate,R_2hq7sLo8mWkfchv,Democrat,A little positive,No,Yes,No,No
159,informed,forward,happy,eager,R_d6cT5HkNrfAFsvH,Democrat,A little positive,No,Yes,No,No
160,liberal,black,union,old,R_6iiC206o84WLa6N,Republican,A little negative,No,No,No,Yes
161,loud,uninformed,needy,criminal,R_77cyiVZewie7dwp,Republican,Very negative,Yes,Yes,No,No
162,blue,hip,young,liberal,R_9tUkkdDnjeferoV,Independent,Neither positive nor negative,No,No,No,No
163,sleek,meek,geek,weak,R_dmxrNKN4YIXkyP3,Republican,Very negative,Yes,Yes,No,No
164,liberal,left wing,poor,emotional,R_a62f5O5omMqpFqJ,Republican,Very negative,Yes,Yes,No,No
165,crazy,mad,crazy,mad,R_3FaHMjHs0MbnQvH,Republican,Very negative,Yes,Yes,No,No
166,liberal,bleeding heart,hippy,socialist,R_6hDRzk6LxWyMDQx,Republican,Very negative,Yes,No,Yes,No
167,NONE,NONE,NONE,NONE,R_3IsctPM0ebR4gst,Independent,Neither positive nor negative,No,No,No,No
168,liberal,NONE,NONE,NONE,R_5sWYySIau9tJTfL,Independent,Neither positive nor negative,No,No,No,No
169,liberal,celebrity,left,smart,R_bec3NlBD0dog2mV,Independent,A little positive,No,Yes,No,No
170,liberal,atheists,non traditional,perverted,R_3BIyL07uLF3HEKV,Republican,Very negative,Yes,No,No,No
171,stubborn,liberal,blinded,sheep,R_eapFFeNASHgJnut,Republican,Very negative,Yes,Yes,No,Yes
172,intellectual,broad minded,diverse,community minded,R_agcJWI9cktRQ1md,Democrat,Very positive,No,Yes,No,Yes
173,stubborn,NONE,NONE,NONE,R_42PhVZh3MpP1laJ,Republican,A little negative,No,Yes,No,No
174,loyal,open,worker,liberals,R_bQlV5tvvGYKK0Hr,Independent,Neither positive nor negative,No,Yes,No,No
175,liberal,NONE,NONE,NONE,R_2t6geOjaIlLnZAN,Independent,Neither positive nor negative,No,No,No,No
176,liberal,hippies,free loaders,empathetic,R_9AlX0dtXtGIHSnz,Republican,A little negative,Yes,Yes,No,Yes
177,liberal,social minded,open,moderate,R_e2p0Nbmckj37iaF,Independent,A little positive,No,No,No,No
178,liberal,equal,middle class,environment,R_b9s9BR26L1Mr1vD,Independent,A little positive,No,No,Yes,No
179,pig,stupid,NONE,NONE,R_5b8goIHByQI6wbX,Republican,Very negative,Yes,Yes,No,No
180,working man,middle class,NONE,NONE,R_1HBnZDhpNLRk5fL,Independent,Neither positive nor negative,No,No,No,Yes
181,centrist,liberal,NONE,NONE,R_cSb5vuQIj9FcmhL,Independent,Neither positive nor negative,No,No,No,No
182,argumentative,hippy,young,teachers,R_eYbd175ypIaHr8h,Republican,A little negative,No,No,No,Yes
183,none,none,none,none,R_6kQNBOplyGKtIJD,Independent,Neither positive nor negative,No,No,No,No
184,liberals,NONE,NONE,NONE,R_6KCSKFf7gw99r13,Republican,Neither positive nor negative,No,No,No,No
185,arrogant,self centered,liberal,motivated,R_1MJfZzQ3S1SXuLP,Republican,Very negative,Yes,Yes,No,No
186,don't know,NONE,NONE,NONE,R_9zsv3nebRaL2wrb,Independent,Neither positive nor negative,No,No,No,No
187,liberal,commonsense,flexible,teamwork,R_3R75eHE8TXYvn3T,Democrat,A little positive,No,Yes,No,No
188,liberal,progressive,fair,open-minded,R_3OxOcFU6f8Np9yd,Democrat,A little positive,No,Yes,No,No
189,poor,lazy,liars,flighty,R_ekCN2bUTfPp7S5L,Republican,Very negative,Yes,Yes,No,No
190,loyal,smart,wise,equal,R_2mAGeTV1nHoD3Cd,Democrat,Very positive,No,Yes,No,No
191,qwerty,NONE,NONE,NONE,R_8uE4jkE9Q3Rnn5H,Independent,Neither positive nor negative,No,No,No,No
192,liberal,misinformed,emotional,compassionate,R_b1Nmh6638RBtcFf,Republican,A little negative,No,Yes,No,No
193,poor,unhappy,minority,uneducated,R_cD3sMruEVvLPJFr,Republican,Very negative,Yes,No,No,Yes
194,liberal,forward thinking,equality,fair,R_2tx1jUDWgw8UABL,Democrat,Very positive,No,No,No,No
195,everyone,NONE,NONE,NONE,R_aXgG217rbaRfBVX,Independent,Neither positive nor negative,No,No,No,No
196,1,2,3,4,R_cvIax4f5aWIvO4J,Republican,Very negative,Yes,No,No,No
197,liberal,forward thinking,progressive,kind hearted,R_3JGmFZS64yDyQPH,Democrat,Very positive,No,Yes,No,No
198,liberal,lazy,unintelligent,NONE,R_aWZuKqBqVuDoV9P,Republican,Very negative,Yes,Yes,No,No
199,young,minority,middle,liberal,R_be0cUxhHrd0BF9H,Independent,Neither,No,No,No,Yes
200,liberal,pro-choice,young,socialist,R_b8VQGuMZz2EvtHf,Republican,Neither positive nor negative,No,No,Yes,No
201,smart,NONE,NONE,NONE,R_8nMeXVIBaTYPGTP,Independent,Neither positive nor negative,No,No,No,No
202,liberal,city folk,strong,determined,R_9nL6Y1JKKmc5uf3,Independent,A little positive,No,Yes,No,Yes
203,idealistic,kind,cowardly,naive,R_3jvXcMJVB0khaZf,Republican,A little negative,No,Yes,No,No
204,young,smart,educated,practical,R_3NMpowBAzVEubBz,Democrat,A little positive,No,No,No,No
205,blue collar,middle class,illogical,weak,R_38EptKoXH8YDLRr,Republican,Very negative,Yes,Yes,No,Yes
206,liberal,mid class,mod income,multicultural,R_1MJvDjCEbZZqpJb,Independent,Neither positive nor negative,No,No,No,Yes
207,liberal,black,helping,educated,R_6ybTwH1Ztlm5LKZ,Independent,A little positive,No,No,No,Yes
208,helpful,liberal,concern,NONE,R_5iiLIXCeqy7m4CN,Independent,A little positive,No,No,Yes,No
209,open-minded,intelligent,concerned,caring,R_9p2EnPIvO9gSZdH,Democrat,Very positive,No,Yes,No,No
210,liberal,progressive,left brained,emotional,R_cSlCMpPXyl9dniR,Republican,A little negative,No,Yes,No,No
211,poor,modern,common,sense,R_aaWajAxzJLDWuPz,Republican,A little negative,No,No,No,No
212,liberal,young,emotional,communal,R_6h4Fg2g5TtC3kdn,Republican,A little negative,No,Yes,No,Yes
213,liberal,compassionate,just,correct,R_6kVywf3cgz14rqJ,Democrat,Very positive,No,Yes,No,No
214,effective,educated,open-minded,flexible,R_6sACQsGtqhlS1ox,Democrat,Very positive,No,Yes,No,No
215,callous,self righteous,distrustful,selfish,R_5ikS6GUTOWkFqKN,Republican,Very negative,Yes,Yes,No,No
216,young,liberal,open-minded,compassionate,R_1ZX6CtGVMPlMQzX,Democrat,A little positive,No,Yes,No,No
217,smart,open-minded,NONE,NONE,R_2iaXk7RGN0ZU9Jr,Independent,A little positive,No,Yes,No,No
218,equal,fair,helpful,middle class,R_0NRqjg0JSOsQyJD,Democrat,A little positive,No,No,No,Yes
219,liberal,multicultural,hard headed,?,R_8Ju6XtDHQGbM149,Independent,Neither positive nor negative,No,Yes,No,Yes
220,smart,caring,supportive,every day,R_bwj3htiwBXfnKzH,Democrat,Very positive,No,Yes,No,No
221,NONE,NONE,NONE,NONE,R_7OqEkzBFzjizNjL,Independent,Neither positive nor negative,No,No,No,No
222,educated,liberals,eco conscious,upper middle,R_dopOGpCtvMv6Sj3,Independent,A little positive,No,No,Yes,No
223,pro-choice,liberal,NONE,NONE,R_9zxwHaEaRvcP1c1,Independent,Neither positive nor negative,No,No,Yes,No
224,fair,generous,conservative,younger,R_5AtU6w0u8wWTm97,Independent,A little positive,No,No,No,No
225,liberal,argumentative,loud,obnoxious,R_cMWjRiwXVQMqcfP,Republican,Very negative,Yes,Yes,No,No
226,x,NONE,NONE,NONE,R_6oiyJNdlwT9GrWt,Independent,Neither positive nor negative,No,No,No,No
227,NONE,NONE,NONE,NONE,R_agacxYjDMQ9pjCJ,Independent,Neither positive nor negative,No,No,No,No
228,free spending,compassionate,lazy,entitled,R_b1t3wSXOvdxVDmt,Republican,Very negative,Yes,Yes,No,No
229,poor,gay,minorities,nice,R_5auhfcmnsAaDHut,Republican,A little negative,Yes,No,No,Yes
230,tolerant,color,liberal,open-minded,R_9KAFdRrAKOQ5zaB,Independent,A little positive,No,Yes,No,No
231,liberal,opinionated,anti republican,close-minded,R_9sPR07aabJ8OMjb,Republican,Very negative,Yes,Yes,No,No
232,nature lovers,NONE,NONE,NONE,R_1HT1qXumxlJPGJf,Independent,Neither positive nor negative,No,No,No,No
233,dishonest,selfish,greedy,narcissistic,R_eKdRurgE3Jfh0EZ,Republican,Very negative,Yes,Yes,No,No
234,liberal,middle class,educated,aware,R_4SJCCUrJJvViU2V,Independent,A little positive,No,No,No,Yes
235,more,liberal,tax,latino,R_1G3nQFIp2hvN4JT,Republican,A little negative,No,No,Yes,Yes
236,noninvestigative,dishonest,liar,uncaring,R_6AnvNvGj3lWPEpv,Republican,Very negative,Yes,Yes,No,No
237,NONE,NONE,NONE,NONE,R_8ljIlBFRVz9UZCt,Independent,Neither positive nor negative,No,No,No,No
238,crooks,dishonest,give away,un american,R_e3xmwyBXkb4GXit,Republican,Very negative,Yes,Yes,Yes,No
239,empathetic,accepting,prochoice,understanding,R_86uGLfqROYDdyyF,Democrat,A little positive,No,Yes,Yes,No
240,liberal,pushy,spiritual,tax,R_552fZE63Bw0POXX,Republican,A little negative,No,Yes,Yes,No
241,liberal,socialist,working class,poor,R_6tcDMFYl30NXvqR,Republican,A little negative,No,No,Yes,Yes
242,minority,NONE,NONE,NONE,R_b14st1W7BOkKszX,Independent,Neither positive nor negative,No,No,No,Yes
243,don't know,NONE,NONE,NONE,R_erOqqaeIr3TdHi5,Independent,Neither positive nor negative,No,No,No,No
244,liberal,content,naive,hopeful,R_0BCgFTell8CMLFH,Republican,A little negative,No,Yes,No,No
245,NONE,NONE,NONE,NONE,R_cHeLcOhUKg1u4It,Independent,Neither positive nor negative,No,No,No,No
246,NONE,NONE,NONE,NONE,R_b3XZlG2eTanZnJH,Independent,Neither positive nor negative,No,No,No,No
247,women,ethnic,young,liberal,R_0H43UknsPpOSCnX,Independent,Neither positive nor negative,No,No,No,Yes
248,na,NONE,NONE,NONE,R_01VeQbLEk1yH9f7,Independent,Neither positive nor negative,No,No,No,No
249,people,person,human,living,R_8tXDmUeR4mZGiEZ,Independent,Neither positive nor negative,No,No,No,No
250,people,supports,politicians,public,R_5hAKNnYlosyyV6d,Independent,Neither positive nor negative,No,No,No,No
